City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,semme,46.1963,1.5007,3.23,97,100,1.72,FR,1670134130
211,fort nelson,58.8053,-122.7002,6.08,59,89,4.47,CA,1670134131
212,cortez,37.3489,-108.5859,7.05,65,0,0.0,US,1670133871
213,anadyr,64.75,177.4833,1.28,100,100,12.0,RU,1670134131
214,prainha,-1.8,-53.48,23.56,92,99,1.14,BR,1670134132
215,kurilsk,45.2333,147.8833,-1.92,70,99,12.17,RU,1670134133
216,tafalla,42.5269,-1.6745,2.49,88,97,0.65,ES,1670134133
217,faanui,-16.4833,-151.75,27.09,77,16,7.82,PF,1670134133
218,paraiso,9.8383,-83.8656,17.48,95,97,1.21,CR,1670134134
219,pimentel,-6.8367,-79.9342,17.99,89,24,4.38,PE,1670134134
220,sambir,49.5183,23.1975,-0.63,92,100,2.68,UA,1670134135
221,pangnirtung,66.1451,-65.7125,-8.75,59,100,6.9,CA,1670134135
222,bilma,18.6853,12.9164,20.96,24,25,4.09,NE,1670134135
223,bashmakovo,53.2133,43.0342,-11.08,74,72,3.08,RU,1670134135
224,cabo san lucas,22.8909,-109.9124,25.28,76,29,4.24,MX,1670133986
225,brae,60.3964,-1.353,6.09,68,100,5.15,GB,1670134136
226,shache,38.4167,77.2406,-0.88,21,78,0.65,CN,1670134136
227,broome,42.2506,-75.833,1.93,69,100,5.66,US,1670134137
228,clyde river,70.4692,-68.5914,-26.34,78,3,1.45,CA,1670134137
229,flin flon,54.7682,-101.865,-16.29,94,100,3.05,CA,1670134138
230,rabo de peixe,37.8,-25.5833,14.73,97,20,14.92,PT,1670134138
231,mahebourg,-20.4081,57.7,27.92,67,12,4.91,MU,1670134138
232,lasa,46.6166,10.7002,2.79,96,99,1.22,IT,1670134139
233,rovaniemi,66.5,25.7167,-5.33,100,100,2.57,FI,1670134139
234,labrea,-7.2586,-64.7981,22.08,99,100,1.19,BR,1670134139
235,gweta,-20.1833,25.2333,30.41,27,10,5.36,BW,1670134140
236,guerrero negro,27.9769,-114.0611,17.8,83,97,3.61,MX,1670134140
237,bac lieu,9.285,105.7244,27.91,80,88,8.66,VN,1670134140
238,palmer,42.1584,-72.3287,4.02,54,40,7.72,US,1670134134
239,qasigiannguit,68.8193,-51.1922,-3.86,72,98,4.24,GL,1670133976
240,tuktoyaktuk,69.4541,-133.0374,-15.0,78,75,9.26,CA,1670134141
241,mabaruma,8.2,-59.7833,22.0,99,100,0.4,GY,1670134141
242,shimoda,34.6667,138.95,15.06,62,34,10.56,JP,1670134142
243,port alfred,-33.5906,26.891,17.32,94,100,0.89,ZA,1670134142
244,hervey bay,-25.2986,152.8535,23.77,69,49,8.32,AU,1670134070
245,bud,39.447,-86.1758,-3.16,80,53,2.11,US,1670134075
246,port blair,11.6667,92.75,31.02,70,40,5.14,IN,1670134142
247,fortuna,40.5982,-124.1573,8.85,88,100,6.69,US,1670133968
248,iqaluit,63.7506,-68.5145,-8.5,78,100,2.68,CA,1670134143
249,callaway,30.153,-85.5699,18.89,96,0,1.54,US,1670134143
250,panalingaan,8.7842,117.4231,29.06,68,99,1.73,PH,1670134144
251,cherskiy,68.75,161.3,-16.89,96,100,3.55,RU,1670134016
252,umm lajj,25.0213,37.2685,24.57,68,100,2.25,SA,1670133952
253,matara,5.9485,80.5353,28.55,67,98,1.77,LK,1670134145
254,kjollefjord,70.9457,27.3465,-1.97,80,11,5.14,NO,1670134145
255,kruisfontein,-34.0033,24.7314,18.27,62,100,1.27,ZA,1670134146
256,arrecife,28.963,-13.5477,15.99,88,75,3.09,ES,1670134146
257,qinhuangdao,39.9317,119.5883,-0.44,18,4,1.5,CN,1670134146
258,mastic beach,40.7668,-72.8521,7.44,58,0,5.14,US,1670134026
259,aquiraz,-3.9014,-38.3911,27.05,77,51,6.03,BR,1670134147
260,vanderhoof,54.0166,-124.0198,-20.86,100,37,0.3,CA,1670133885
261,saquena,-4.6667,-73.5167,22.38,89,100,1.45,PE,1670134147
262,salalah,17.0151,54.0924,28.05,57,20,1.54,OM,1670134012
263,victoria,22.2855,114.1577,24.58,77,56,8.05,HK,1670133614
264,platteville,42.7342,-90.4785,-8.41,67,0,4.12,US,1670134148
265,pevek,69.7008,170.3133,-11.49,87,100,1.81,RU,1670134148
266,bucerias,20.75,-105.3333,24.43,84,56,1.56,MX,1670134148
267,jacareacanga,-6.2222,-57.7528,21.85,99,93,0.2,BR,1670134149
268,vila franca do campo,37.7167,-25.4333,15.23,77,86,10.73,PT,1670134149
269,kavieng,-2.5744,150.7967,27.66,77,98,2.79,PG,1670134150
270,kahului,20.8947,-156.47,25.47,70,75,4.92,US,1670134150
271,richards bay,-28.783,32.0377,22.37,72,100,1.31,ZA,1670134150
272,pochutla,15.7432,-96.4661,22.68,57,0,1.75,MX,1670134151
273,mercedes,-34.6515,-59.4307,17.7,85,0,3.06,AR,1670134151
274,lagoa,39.05,-27.9833,15.55,72,27,11.39,PT,1670134152
275,tigil,57.8,158.6667,-17.72,86,71,2.65,RU,1670134152
276,la romana,18.4273,-68.9728,21.07,91,0,3.83,DO,1670134152
277,kirakira,-10.4544,161.9205,28.03,78,100,3.46,SB,1670134152
278,matagami,49.7502,-77.6328,-14.85,91,100,3.76,CA,1670134153
279,arlit,18.7369,7.3853,22.44,17,35,3.48,NE,1670134153
280,tadine,-21.55,167.8833,25.67,84,100,3.11,NC,1670134153
281,tambura,5.6,27.4667,26.5,29,82,1.79,SS,1670134154
282,gabu,12.2833,-14.2167,20.01,77,52,1.35,GW,1670134155
283,teacapan,22.55,-105.75,21.96,83,17,1.34,MX,1670134155
284,reconquista,-29.15,-59.65,20.16,87,0,3.22,AR,1670134155
285,katherine,-14.4667,132.2667,38.18,25,96,4.12,AU,1670134156
286,yerbogachen,61.2767,108.0108,-18.82,93,100,5.55,RU,1670134156
287,airai,-8.9266,125.4092,24.78,46,82,1.08,TL,1670134157
288,morozovsk,48.3539,41.8261,-8.5,52,6,6.92,RU,1670134157
289,marzuq,14.4,46.4667,20.83,30,0,2.2,YE,1670134157
290,palembang,-2.9167,104.7458,31.05,62,75,2.06,ID,1670134158
291,pishin,30.5803,66.9961,10.8,35,14,0.94,PK,1670134158
